,Pearson,Spearman,Mutual_Info,Abs_Pearson,categoria
dow,0.10884546177584811,0.1272676766182561,0.06990503526042646,0.10884546177584811,Otra
payload_per_km,0.014108541801139947,-0.01838307193511222,0.0685890683085324,0.014108541801139947,Interacción
no_correctivos_sum14,0.08382715309564542,0.07467312115402776,0.06703814725854329,0.08382715309564542,Rolling
intensidad_uso,0.09608474163141037,0.11479954383731011,0.06594436515525093,0.09608474163141037,Interacción
consumo_mean_3,0.11428072149577766,0.1395849131243589,0.06585727327814173,0.11428072149577766,Rolling
dow_sin,0.004718586866690467,-0.01711363325933951,0.062054569758244416,0.004718586866690467,Otra
no_cycles_std7,0.02947357739695159,0.044589033454335715,0.04954355226874263,0.02947357739695159,Rolling
no_inspe_prio_1_mean7,-0.049742044831066215,-0.07675215184981975,0.046379233023096766,0.049742044831066215,Rolling
total_payload_lag10,0.10634055627765703,0.06863793035532494,0.045691287768726774,0.10634055627765703,Lag Exógeno
total_empty_kms_lag10,0.11557370223146687,0.07932470429688435,0.0436865067429455,0.11557370223146687,Lag Exógeno
dow_cos,-0.2259387851101723,-0.20541156622379783,0.0432067918100727,0.2259387851101723,Otra
total_payload_mean7,0.028549983502315444,0.00813881772684597,0.04312305988668097,0.028549983502315444,Rolling
no_inspe_prio_2_mean7,-0.17638202216603252,-0.14899881046926206,0.04227811199477394,0.17638202216603252,Rolling
horas_down,0.19009607931369799,0.18619787506585309,0.04036117426516039,0.19009607931369799,Otra
mes_cos,-0.07496687300515818,-0.06071051228112734,0.0394702476264257,0.07496687300515818,Calendario
presion_mantenimiento,-0.09486389011196818,-0.08328583982130806,0.03884404165724664,0.09486389011196818,Interacción
total_cycle_time_mean3,0.04911606084401846,0.006130578348777732,0.03794583006931873,0.04911606084401846,Rolling
no_preventivos_sum7,-0.0738100812850286,-0.06668964013272936,0.037534442934493484,0.0738100812850286,Rolling
no_inspe_prio_2_sum7,-0.17638202216603238,-0.14899881046926206,0.03732972582460281,0.17638202216603238,Rolling
consumo_std_7,0.11139400532115441,0.10899817187493023,0.036256181274134214,0.11139400532115441,Rolling
consumo_max_7,0.12026906524093112,0.11946718233090202,0.0338928814678261,0.12026906524093112,Autorregresivo
consumo_lag19,0.10328406655598364,0.11414942587829109,0.03294206423695023,0.10328406655598364,Lag Exógeno
consumo_lag8,0.14584535676963115,0.14771160297128813,0.03176939686268865,0.14584535676963115,Lag Exógeno
no_inspe_prio_1_lag28,-0.09566423602363322,-0.09043628537426086,0.028940269401484198,0.09566423602363322,Lag Exógeno
no_preventivos_sum14,-0.060525282813197336,-0.04196455392850547,0.028752991800772953,0.060525282813197336,Rolling
no_preventivos_lag15,-0.12835021535237734,-0.11310985431573943,0.026523947781953883,0.12835021535237734,Lag Exógeno
no_inspe_prio_2_lag2,-0.1847553488776305,-0.16029405678588432,0.025794541118484116,0.1847553488776305,Lag Exógeno
no_inspe_prio_1_sum14,-0.06024520380113657,-0.07378608656177685,0.023625082310476664,0.06024520380113657,Rolling
consumo_volatility_7,-0.006859711283792255,-0.014015026812006759,0.02343282043578565,0.006859711283792255,Autorregresivo
llantas_desechadas_lag12,0.13115887646065913,0.11739721265611748,0.022728334869591915,0.13115887646065913,Lag Exógeno
total_cycle_time_lag10,0.12084691076101267,0.0797717308510439,0.021013153051771205,0.12084691076101267,Lag Exógeno
no_cycles_lag10,0.0768030005387753,0.04443884660719363,0.01916617027243639,0.0768030005387753,Lag Exógeno
no_cycles_mean7,-0.02278524397853087,-0.03127350909057788,0.018312963060216347,0.02278524397853087,Rolling
total_payload_std7,0.05255883451324828,0.061937990303758565,0.017371125002678234,0.05255883451324828,Rolling
no_inspe_prio_1_sum7,-0.04974204483106624,-0.07675215184981975,0.016815059104890118,0.04974204483106624,Rolling
kms_loaded_trend,0.013263671420674654,-0.03074648339054758,0.016614585240074753,0.013263671420674654,Tendencia
no_preventivos_mean7,-0.07381008128502867,-0.06668964013272936,0.015889097704867794,0.07381008128502867,Rolling
consumo_mean_7,0.14384147204099748,0.13707708669111687,0.015887654445733368,0.14384147204099748,Rolling
total_empty_kms_mean3,0.0538914356054323,0.0009653109537956669,0.015550695870022224,0.0538914356054323,Rolling
consumo_diff1,0.07275340879093183,0.08485882177517864,0.01523834886733244,0.07275340879093183,Tendencia
consumo_acceleration,0.015194951120037234,0.02480058066540044,0.012543351301582906,0.015194951120037234,Tendencia
total_loaded_kms_mean7,0.056962684825079726,0.025708308343998024,0.006339576524194257,0.056962684825079726,Rolling
consumo_lag9,0.09399366822801271,0.06834811172493564,0.0061404488779599475,0.09399366822801271,Lag Exógeno
total_payload_mean3,0.04252103902644329,0.012011228442619832,0.005957400067987173,0.04252103902644329,Rolling
consumo_trend,0.0006271624977189325,0.0399215575078793,0.0028228579375566554,0.0006271624977189325,Tendencia
total_loaded_kms_lag10,0.11487549080817476,0.0802461488609137,0.0016937153380744974,0.11487549080817476,Lag Exógeno
no_correctivos_lag9,-0.08577630245912694,-0.059637004608082626,0.0012559271114125359,0.08577630245912694,Lag Exógeno
consumo_sum_7,0.14384147204099756,0.13707708669111687,0.001077119059085696,0.14384147204099756,Rolling
no_cycles_mean3,0.003936052717136662,-0.01910154321767688,0.000292546182961928,0.003936052717136662,Rolling
consumo_lag1,0.15698228624867405,0.16882976275686887,0.0,0.15698228624867405,Lag Exógeno
mes,0.010644817915595687,0.013961734198895716,0.0,0.010644817915595687,Otra
mes_sin,-0.020137460696024203,-0.008494169435519531,0.0,0.020137460696024203,Calendario
avg_empty_speed_lag7,0.09770087718636128,0.11526449752336049,0.0,0.09770087718636128,Lag Exógeno
consumo_lag13,0.10104878631560521,0.08801215550681975,0.0,0.10104878631560521,Lag Exógeno
consumo_lag7,0.15516817874862404,0.1336506478563905,0.0,0.15516817874862404,Lag Exógeno
consumo_min_7,0.03115068968151062,0.053547038100177954,0.0,0.03115068968151062,Autorregresivo
total_empty_kms_std7,0.030763898422342995,0.04785507646042904,0.0,0.030763898422342995,Rolling
total_empty_kms_mean7,0.053780286177608314,0.017533385974433442,0.0,0.053780286177608314,Rolling
total_loaded_kms_std7,0.03650665010545939,0.05216730281697622,0.0,0.03650665010545939,Rolling
total_loaded_kms_mean3,0.05461708499254178,0.008501516655016434,0.0,0.05461708499254178,Rolling
total_cycle_time_mean7,0.03904534432991138,0.015295398883753567,0.0,0.03904534432991138,Rolling
total_cycle_time_std7,0.04613348408295567,0.059924743346949874,0.0,0.04613348408295567,Rolling
avg_empty_speed_mean3,0.042818295099043426,0.07091387489285737,0.0,0.042818295099043426,Rolling
avg_empty_speed_mean7,0.10411609640053698,0.13000871221515323,0.0,0.10411609640053698,Rolling
no_inspe_prio_2_sum14,-0.14588395291058154,-0.10269844395455999,0.0,0.14588395291058154,Rolling
avg_empty_speed_std7,0.038831654253630866,0.11237928088047804,0.0,0.038831654253630866,Rolling
no_correctivos_sum7,0.09694970681374794,0.08806143740299889,0.0,0.09694970681374794,Rolling
no_correctivos_mean7,0.09694970681374786,0.08806143740299889,0.0,0.09694970681374786,Rolling
ratio_cargado_vacio,0.0007422487947886079,-0.0076613951697319035,0.0,0.0007422487947886079,Interacción
ratio_hallazgos_mantenimiento,-0.11778129220588818,-0.13697615269576535,0.0,0.11778129220588818,Interacción
avg_cycle_duration,0.11347556696565862,0.11491982587865564,0.0,0.11347556696565862,Interacción
consumo_diff7,0.008773801960997737,0.01634496652409475,0.0,0.008773801960997737,Tendencia
