Frecuencia,Variable,Var_Code,Mejor_Lag,Unidad,Max_Signal,Pearson,Spearman,Distance,MI,N
Diario,Hallazgos Prioridad 1,no_inspe_prio_1,25,días,0.1087222131400173,-0.07481495028433319,-0.10577016307913892,0.1087222131400173,0.0,509
Diario,Hallazgos Prioridad 2,no_inspe_prio_2,2,días,0.16715630206484697,-0.16715630206484697,-0.1379613369811555,0.14766220997902849,0.0,532
Diario,Llantas Desechadas,llantas_desechadas,12,días,0.13813193923456674,0.13813193923456674,0.1256748295428198,0.12921373804530992,0.04391794828933593,522
Diario,Mantenimientos Preventivos,no_preventivos,24,días,0.12217287444721489,-0.10994324568310859,-0.12061733067546197,0.12217287444721489,0.019871288743543047,510
Diario,Mantenimientos Correctivos,no_correctivos,9,días,0.09255721517052704,-0.08867755592481895,-0.06645760664381285,0.09255721517052704,0.0037803137443361834,525
Diario,Velocidad vacío,avg_empty_speed,7,días,0.1276710328447772,0.10144290874808477,0.11443512569072788,0.1276710328447772,0.0,526
Diario,Payload promedio,avg_payload,29,días,0.12162615897431682,0.09212690777594706,0.08815897596610696,0.12162615897431682,0.0,505
Diario,Kms vacíos,total_empty_kms,10,días,0.1247198194197304,0.1247198194197304,0.08443422467129216,0.12364569626260276,0.048909508318757844,523
Diario,Kms cargados,total_loaded_kms,10,días,0.12299537737210493,0.12299537737210493,0.08547245678695575,0.12272837176320456,0.0069331508034489175,523
Diario,Payload total,total_payload,10,días,0.11961082961050674,0.11364064499548236,0.07196087824230564,0.11961082961050674,0.045517204742004935,523
Diario,Número de ciclos,no_cycles,10,días,0.10121478287743985,0.08469276918058048,0.04868489077879658,0.10121478287743985,0.013558524224642099,523
Diario,Tiempo total ciclos,total_cycle_time,10,días,0.13305411502371203,0.13162314679279621,0.08830152614448888,0.13305411502371203,0.01296735252836001,523
Diario,Horas down,horas_down,10,días,0.2017217895165094,0.1490241065986901,0.2017217895165094,0.19516800964201794,0.026767162946184975,524
Semanal,Hallazgos Prioridad 1,no_inspe_prio_1,3,semanas,0.22005695411559728,-0.12904174075841943,-0.16167739224390823,0.22005695411559728,0.047167062469945176,84
Semanal,Hallazgos Prioridad 2,no_inspe_prio_2,4,semanas,0.39368027028162195,-0.3636331077582965,-0.3636217298184699,0.39368027028162195,0.09032793150870866,83
Semanal,Llantas Desechadas,llantas_desechadas,1,semanas,0.5402713661834571,0.5402713661834571,0.49219925709372425,0.5042801499012706,0.12196976045494612,86
Semanal,Mantenimientos Preventivos,no_preventivos,4,semanas,0.34927894613851285,-0.29670807198598725,-0.32509162352244786,0.34927894613851285,0.1381716587339188,83
Semanal,Mantenimientos Correctivos,no_correctivos,0,semanas,0.3200234130231869,0.3200234130231869,0.2899909152081068,0.3131855688159626,0.01932951496316493,87
Semanal,Velocidad vacío,avg_empty_speed,0,semanas,0.2772448943187445,0.2721912229550494,0.24702304378369608,0.2772448943187445,0.0,87
Semanal,Payload promedio,avg_payload,2,semanas,0.23740153884286,0.13995864711522193,0.20602745976582196,0.23740153884286,0.05357361963512863,85
Semanal,Kms vacíos,total_empty_kms,0,semanas,0.6421275426898385,0.6421275426898385,0.5759675068732292,0.596941266158377,0.22853497530681333,87
Semanal,Kms cargados,total_loaded_kms,0,semanas,0.6343615908972084,0.6343615908972084,0.5645563393471629,0.5837298071019067,0.18907670223266848,87
Semanal,Payload total,total_payload,0,semanas,0.619041605022797,0.619041605022797,0.5629782961960761,0.5771401860368628,0.29003810095978233,87
Semanal,Número de ciclos,no_cycles,0,semanas,0.59393341500937,0.59393341500937,0.5159266839883643,0.5483061717391232,0.22989352295988352,87
Semanal,Tiempo total ciclos,total_cycle_time,0,semanas,0.6271591966233189,0.6271591966233189,0.5644103931597791,0.5908711428624205,0.3184335608326143,87
Semanal,Horas down,horas_down,0,semanas,0.6059006479108036,0.6059006479108036,0.5535100372895558,0.5376885805083143,0.26755107508657217,87
Quincenal,Hallazgos Prioridad 1,no_inspe_prio_1,4,quincenas,0.5378122270495667,-0.5378122270495667,-0.498395744944692,0.509607507701341,0.2199283829579386,37
Quincenal,Hallazgos Prioridad 2,no_inspe_prio_2,2,quincenas,0.47777012106704325,-0.3967695566903497,-0.371444587101068,0.47777012106704325,0.0,39
Quincenal,Llantas Desechadas,llantas_desechadas,0,quincenas,0.6095564762999222,0.6095564762999222,0.44596067870658024,0.5259787516960249,0.03629912307809802,41
Quincenal,Mantenimientos Preventivos,no_preventivos,5,quincenas,0.5622794661025876,-0.5622794661025876,-0.4741046279516145,0.5390695192525657,0.13172829415658915,36
Quincenal,Mantenimientos Correctivos,no_correctivos,0,quincenas,0.4274838556807012,0.4274838556807012,0.3817706120015332,0.4126096103839684,0.13297549779420859,41
Quincenal,Velocidad vacío,avg_empty_speed,7,quincenas,0.28375937619844077,-0.1275920565507903,-0.18165142923442648,0.28375937619844077,0.050270372656297635,34
Quincenal,Payload promedio,avg_payload,5,quincenas,0.5322356937667488,0.40121616607626226,0.5068899956194807,0.5322356937667488,0.14301030872380593,36
Quincenal,Kms vacíos,total_empty_kms,0,quincenas,0.739908296591596,0.739908296591596,0.6531573802756786,0.6992798492294465,0.2715102926325135,41
Quincenal,Kms cargados,total_loaded_kms,0,quincenas,0.7265905466172538,0.7265905466172538,0.6331983410332006,0.6778526382212745,0.3106629481959309,41
Quincenal,Payload total,total_payload,0,quincenas,0.7177745523480108,0.7177745523480108,0.6118447837650473,0.681663685621454,0.2336531376791653,41
Quincenal,Número de ciclos,no_cycles,0,quincenas,0.6899449682574272,0.6899449682574272,0.5700092429947875,0.6517438064745865,0.1674427826734166,41
Quincenal,Tiempo total ciclos,total_cycle_time,0,quincenas,0.7220775116070028,0.7220775116070028,0.6272716394240805,0.68509578348834,0.25856251758835613,41
Quincenal,Horas down,horas_down,0,quincenas,0.7545402117791276,0.7545402117791276,0.6777357604782062,0.695033720579049,0.31379177548637394,41
Mensual,Hallazgos Prioridad 1,no_inspe_prio_1,2,meses,0.6341592343267803,-0.6341592343267803,-0.6251664927440865,0.6207251886863155,0.12708399701433826,19
Mensual,Hallazgos Prioridad 2,no_inspe_prio_2,3,meses,0.5619711275583529,-0.37745762584621406,-0.4315953079030419,0.5619711275583529,0.22361596736596745,18
Mensual,Llantas Desechadas,llantas_desechadas,0,meses,0.8044216346354377,0.8044216346354377,0.6161846279257399,0.7610996097711139,0.25902698093100596,21
Mensual,Mantenimientos Preventivos,no_preventivos,3,meses,0.6623219798643901,-0.6072320966235945,-0.3126934984520124,0.6623219798643901,0.1910056990939344,18
Mensual,Mantenimientos Correctivos,no_correctivos,0,meses,0.6294945829870005,0.6294945829870005,0.6083848225089583,0.6040558578006181,0.22279839470242102,21
Mensual,Velocidad vacío,avg_empty_speed,0,meses,0.3962667795933557,0.3241196489146748,0.2897044647759731,0.3962667795933557,0.0,21
Mensual,Payload promedio,avg_payload,2,meses,0.5952926236650925,0.3547246415400921,0.5204037359252778,0.5952926236650925,0.27573517813455917,19
Mensual,Kms vacíos,total_empty_kms,0,meses,0.8687471204548316,0.8687471204548316,0.7554401177902618,0.8648726163392365,0.5289428260569351,21
Mensual,Kms cargados,total_loaded_kms,0,meses,0.8590237603430615,0.8590237603430615,0.717765546137781,0.8443526173607036,0.4611863295189267,21
