Modelo,Escenario,N_Features,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std
Ridge,Con_Exogenas,6,7.08413729932129,2.156467898916599,8.418804841035655,2.7281663197575576,13.314257902928677,3.680306594242676
Lasso,Con_Exogenas,6,7.657757383879966,1.3730680647997642,9.045462094901534,2.3730043730394,16.758467861992543,6.309849329882959
LightGBM,Con_Exogenas,6,10.62464219743834,11.474498884022413,11.713926241237619,12.60905390728381,26.755939892656738,37.17248250819985
RandomForest,Con_Exogenas,6,10.904894128639684,9.52116105579363,12.102908945548231,10.932756866377359,27.360366038458256,34.15513529991809
XGBoost,Con_Exogenas,6,11.757176971435547,11.985039586294809,13.404158301331194,13.308563447506527,28.05438423277967,36.68880706492456
RandomForest,Solo_Auto,5,16.669860880622643,12.143906251020242,17.387387298775902,12.879553048524617,36.15864705982118,37.18408877964038
Ridge,Solo_Auto,5,17.415492251785064,11.4921954462645,18.046829445383786,11.974005538653346,37.597126000372796,36.51813182659544
XGBoost,Solo_Auto,5,18.09276580810547,12.12099795816022,18.770937588975368,12.910924883370338,37.83512942670391,36.91265309938052
LightGBM,Solo_Auto,5,17.733936603005205,11.119526133439697,18.290438465575384,11.470772077504362,37.84224232187435,36.37694522674804
Lasso,Solo_Auto,5,18.201130887331253,11.975777316059514,18.877625611211656,12.478683448310985,38.642181703880006,36.94409212632428
